date,ticker,shares_outstanding
2024-07-09,RELIANCE.NS,6766230016.0
2024-07-10,RELIANCE.NS,6811440128.0
2024-07-10,RELIANCE.NS,6766230016.0
2024-07-11,RELIANCE.NS,6766230016.0
2024-07-12,RELIANCE.NS,6781530112.0
2024-07-12,RELIANCE.NS,6766230016.0
2024-07-19,RELIANCE.NS,6766230016.0
2024-07-20,RELIANCE.NS,6766230016.0
2024-07-24,RELIANCE.NS,6824320000.0
2024-07-24,RELIANCE.NS,6766230016.0
2024-08-03,RELIANCE.NS,6766230016.0
2024-08-03,RELIANCE.NS,6838320128.0
2024-08-13,RELIANCE.NS,6829579776.0
2024-08-13,RELIANCE.NS,6766230016.0
2024-08-29,RELIANCE.NS,6766230016.0
2024-08-31,RELIANCE.NS,6816880128.0
2024-08-31,RELIANCE.NS,6766230016.0
2024-09-04,RELIANCE.NS,6798170112.0
2024-09-04,RELIANCE.NS,6766230016.0
2024-09-05,RELIANCE.NS,6766230016.0
2024-09-06,RELIANCE.NS,6766230016.0
2024-09-07,RELIANCE.NS,6896260096.0
2024-09-07,RELIANCE.NS,6766230016.0
2024-09-10,RELIANCE.NS,6777220096.0
2024-09-10,RELIANCE.NS,6766230016.0
2024-09-11,RELIANCE.NS,6770509824.0
2024-09-11,RELIANCE.NS,6766230016.0
2024-09-12,RELIANCE.NS,6812959744.0
2024-09-12,RELIANCE.NS,6766230016.0
2024-09-17,RELIANCE.NS,6772089856.0
2024-09-17,RELIANCE.NS,6766230016.0
2024-10-01,RELIANCE.NS,6993520128.0
2024-10-01,RELIANCE.NS,6766230016.0
2024-10-02,RELIANCE.NS,6820499968.0
2024-10-02,RELIANCE.NS,6766230016.0
2024-10-04,RELIANCE.NS,7044429824.0
2024-10-04,RELIANCE.NS,6766230016.0
2024-10-05,RELIANCE.NS,6866019840.0
2024-10-05,RELIANCE.NS,6766230016.0
2024-10-10,RELIANCE.NS,6766329856.0
2024-10-15,RELIANCE.NS,6766329856.0
2024-10-17,RELIANCE.NS,6766329856.0
2024-10-18,RELIANCE.NS,6766329856.0
2024-10-18,RELIANCE.NS,6778070016.0
2024-10-19,RELIANCE.NS,6766329856.0
2024-10-22,RELIANCE.NS,6766329856.0
2024-10-23,RELIANCE.NS,6766329856.0
2024-10-23,RELIANCE.NS,6896529920.0
2024-10-24,RELIANCE.NS,6766190080.0
2024-10-26,RELIANCE.NS,13641199616.0
2024-10-29,RELIANCE.NS,13532399616.0
2024-10-29,RELIANCE.NS,13574700032.0
2024-11-01,RELIANCE.NS,13532399616.0
2024-11-01,RELIANCE.NS,13652799488.0
2024-11-05,RELIANCE.NS,13532399616.0
2024-11-05,RELIANCE.NS,13843099648.0
2024-11-06,RELIANCE.NS,13532399616.0
2024-11-08,RELIANCE.NS,13532399616.0
2024-11-08,RELIANCE.NS,13736599552.0
2024-11-09,RELIANCE.NS,13763200000.0
2024-11-09,RELIANCE.NS,13532399616.0
2024-11-14,RELIANCE.NS,13532399616.0
2024-11-14,RELIANCE.NS,13772300288.0
2024-11-15,RELIANCE.NS,13532399616.0
2024-11-22,RELIANCE.NS,13532399616.0
2024-11-27,RELIANCE.NS,13532399616.0
2024-11-28,RELIANCE.NS,13532399616.0
2024-11-28,RELIANCE.NS,13558500352.0
2024-11-29,RELIANCE.NS,13532399616.0
2024-11-30,RELIANCE.NS,13532399616.0
2024-12-04,RELIANCE.NS,13532399616.0
2024-12-06,RELIANCE.NS,13532399616.0
2024-12-07,RELIANCE.NS,13532399616.0
2024-12-07,RELIANCE.NS,13640699904.0
2024-12-11,RELIANCE.NS,13532399616.0
2024-12-11,RELIANCE.NS,13640899584.0
2024-12-12,RELIANCE.NS,13602799616.0
2024-12-12,RELIANCE.NS,13532399616.0
2024-12-13,RELIANCE.NS,13696300032.0
2024-12-14,RELIANCE.NS,13532399616.0
2024-12-17,RELIANCE.NS,13532399616.0
2024-12-17,RELIANCE.NS,13580900352.0
2024-12-19,RELIANCE.NS,13532399616.0
2024-12-20,RELIANCE.NS,13532399616.0
2024-12-21,RELIANCE.NS,13532399616.0
2024-12-21,RELIANCE.NS,13814700032.0
2024-12-25,RELIANCE.NS,13532399616.0
2024-12-27,RELIANCE.NS,13532399616.0
2024-12-27,RELIANCE.NS,13601300480.0
2024-12-28,RELIANCE.NS,13532399616.0
2025-01-01,RELIANCE.NS,13532399616.0
2025-01-02,RELIANCE.NS,13532399616.0
2025-01-03,RELIANCE.NS,13532399616.0
2025-01-04,RELIANCE.NS,13532399616.0
2025-01-07,RELIANCE.NS,13532399616.0
2025-01-07,RELIANCE.NS,13900699648.0
2025-01-10,RELIANCE.NS,13532399616.0
2025-01-11,RELIANCE.NS,13672399872.0
2025-01-11,RELIANCE.NS,13532399616.0
2025-01-14,RELIANCE.NS,13532399616.0
2025-01-14,RELIANCE.NS,13554700288.0
2025-01-15,RELIANCE.NS,13532399616.0
2025-01-16,RELIANCE.NS,13532399616.0
2025-01-17,RELIANCE.NS,13532399616.0
2025-01-22,RELIANCE.NS,13532399616.0
2025-01-23,RELIANCE.NS,13532399616.0
2025-01-25,RELIANCE.NS,13532399616.0
2025-01-31,RELIANCE.NS,13532399616.0
2025-02-03,RELIANCE.NS,13532399616.0
2025-02-05,RELIANCE.NS,13532399616.0
2025-02-08,RELIANCE.NS,13532399616.0
2025-02-08,RELIANCE.NS,13690999808.0
2025-02-11,RELIANCE.NS,13532399616.0
2025-02-11,RELIANCE.NS,13673199616.0
2025-02-12,RELIANCE.NS,13532399616.0
2025-02-13,RELIANCE.NS,13532399616.0
2025-02-13,RELIANCE.NS,13735900160.0
2025-02-14,RELIANCE.NS,13532399616.0
2025-03-04,RELIANCE.NS,13532399616.0
