Date,close,return
2019-01-02,10792.5,
2019-01-03,10672.25,-0.011141996757007222
2019-01-04,10727.349609375,0.0051628859308019415
2019-01-07,10771.7998046875,0.004143632577580325
2019-01-08,10802.150390625,0.0028175965472634346
2019-01-09,10855.150390625,0.004906430486840696
2019-01-10,10821.599609375,-0.0030907707440862575
2019-01-11,10794.9501953125,-0.0024626132017869784
2019-01-14,10737.599609375,-0.005312723532749919
2019-01-15,10886.7998046875,0.013895116296032572
2019-01-16,10890.2998046875,0.0003214902508350548
2019-01-17,10905.2001953125,0.001368225934293088
2019-01-18,10906.9501953125,0.0001604738994844812
2019-01-21,10961.849609375,0.0050334340103701525
2019-01-22,10922.75,-0.0035668806605010372
2019-01-23,10831.5,-0.008354123274816327
2019-01-24,10849.7998046875,0.001689498655541799
2019-01-25,10780.5498046875,-0.006382606245884936
2019-01-28,10661.5498046875,-0.011038398055380982
2019-01-29,10652.2001953125,-0.0008769465552643796
2019-01-30,10651.7998046875,-3.758759858607519e-05
2019-01-31,10830.9501953125,0.016818790618479573
2019-02-01,10893.650390625,0.005788983808607595
2019-02-04,10912.25,0.0017073807867935553
2019-02-05,10934.349609375,0.0020252110586724825
2019-02-06,11062.4501953125,0.011715428033110209
2019-02-07,11069.400390625,0.0006282690714798367
2019-02-08,10943.599609375,-0.011364733121095205
2019-02-11,10888.7998046875,-0.005007475295473629
2019-02-12,10831.400390625,-0.005271417887377283
2019-02-14,10746.0498046875,-0.007879921603800577
2019-02-15,10724.400390625,-0.002014639281967212
2019-02-18,10640.9501953125,-0.00778133902809619
2019-02-19,10604.349609375,-0.0034395975233135756
2019-02-20,10735.4501953125,0.012362906803977669
2019-02-21,10789.849609375,0.005067269008080633
2019-02-22,10791.650390625,0.00016689586186968697
2019-02-25,10880.099609375,0.008196078963680797
2019-02-26,10835.2998046875,-0.004117591409631749
2019-02-27,10806.650390625,-0.002644081343287419
2019-02-28,10792.5,-0.0013094150466157473
2019-03-01,10863.5,0.006578642575862936
2019-03-05,10987.4501953125,0.011409784628572783
2019-03-06,11053.0,0.005965879573721855
2019-03-07,11058.2001953125,0.00047047817900125466
2019-03-08,11035.400390625,-0.0020618006804727917
2019-03-11,11168.0498046875,0.012020353532001593
2019-03-12,11301.2001953125,0.011922438828049886
2019-03-13,11341.7001953125,0.0035836901656514097
2019-03-14,11343.25,0.00013664659273393553
